"Invoice ID",Branch,"Unit price",Quantity,Total,Date,Time,"Cost of goods sold","gross margin percentage","gross income",Rating
750-67-8428,A,74.69,7,548.9715,1/5/2019,13:08,522.83,4.761904762,26.1415,9.1
226-31-3081,C,15.28,5,80.22,3/8/2019,10:29,76.4,4.761904762,3.82,9.6
631-41-3108,A,46.33,7,340.5255,3/3/2019,13:23,324.31,4.761904762,16.2155,7.4
123-19-1176,A,58.22,8,489.048,1/27/2019,20:33,465.76,4.761904762,23.288,8.4
373-73-7910,A,86.31,7,634.3785,2/8/2019,10:37,604.17,4.761904762,30.2085,5.3
699-14-3026,C,85.39,7,627.6165,3/25/2019,18:30,597.73,4.761904762,29.8865,4.1
355-53-5943,A,68.84,6,433.692,2/25/2019,14:36,413.04,4.761904762,20.652,5.8
315-22-5665,C,73.56,10,772.38,2/24/2019,11:38,735.6,4.761904762,36.78,8
665-32-9167,A,36.26,2,76.146,1/10/2019,17:15,72.52,4.761904762,3.626,7.2
692-92-5582,B,54.84,3,172.746,2/20/2019,13:27,164.52,4.761904762,8.226,5.9
351-62-0822,B,14.48,4,60.816,2/6/2019,18:07,57.92,4.761904762,2.896,4.5
529-56-3974,B,25.51,4,107.142,3/9/2019,17:03,102.04,4.761904762,5.102,6.8
365-64-0515,A,46.95,5,246.4875,2/12/2019,10:25,234.75,4.761904762,11.7375,7.1
252-56-2699,A,43.19,10,453.495,2/7/2019,16:48,431.9,4.761904762,21.595,8.2
829-34-3910,A,71.38,10,749.49,3/29/2019,19:21,713.8,4.761904762,35.69,5.7
299-46-1805,B,93.72,6,590.436,1/15/2019,16:19,562.32,4.761904762,28.116,4.5
656-95-9349,A,68.93,7,506.6355,3/11/2019,11:03,482.51,4.761904762,24.1255,4.6
765-26-6951,A,72.61,6,457.443,1/1/2019,10:39,435.66,4.761904762,21.783,6.9
329-62-1586,A,54.67,3,172.2105,1/21/2019,18:00,164.01,4.761904762,8.2005,8.6
319-50-3348,B,40.3,2,84.63,3/11/2019,15:30,80.6,4.761904762,4.03,4.4
300-71-4605,C,86.04,5,451.71,2/25/2019,11:24,430.2,4.761904762,21.51,4.8
371-85-5789,B,87.98,3,277.137,3/5/2019,10:40,263.94,4.761904762,13.197,5.1
273-16-6619,B,33.2,2,69.72,3/15/2019,12:20,66.4,4.761904762,3.32,4.4
