"Invoice ID",City,"Customer type",Gender,"Product line",Payment
750-67-8428,Yangon,Member,Female,"Health and beauty",Ewallet
226-31-3081,Naypyitaw,Normal,Female,"Electronic accessories",Cash
631-41-3108,Yangon,Normal,Male,"Home and lifestyle","Credit card"
123-19-1176,Yangon,Member,Male,"Health and beauty",Ewallet
373-73-7910,Yangon,Normal,Male,"Sports and travel",Ewallet
699-14-3026,Naypyitaw,Normal,Male,"Electronic accessories",Ewallet
355-53-5943,Yangon,Member,Female,"Electronic accessories",Ewallet
315-22-5665,Naypyitaw,Normal,Female,"Home and lifestyle",Ewallet
665-32-9167,Yangon,Member,Female,"Health and beauty","Credit card"
692-92-5582,Mandalay,Member,Female,"Food and beverages","Credit card"
351-62-0822,Mandalay,Member,Female,"Fashion accessories",Ewallet
529-56-3974,Mandalay,Member,Male,"Electronic accessories",Cash
365-64-0515,Yangon,Normal,Female,"Electronic accessories",Ewallet
252-56-2699,Yangon,Normal,Male,"Food and beverages",Ewallet
829-34-3910,Yangon,Normal,Female,"Health and beauty",Cash
299-46-1805,Mandalay,Member,Female,"Sports and travel",Cash
656-95-9349,Yangon,Member,Female,"Health and beauty","Credit card"
765-26-6951,Yangon,Normal,Male,"Sports and travel","Credit card"
329-62-1586,Yangon,Normal,Male,"Food and beverages","Credit card"
319-50-3348,Mandalay,Normal,Female,"Home and lifestyle",Ewallet
300-71-4605,Naypyitaw,Member,Male,"Electronic accessories",Ewallet
371-85-5789,Mandalay,Normal,Male,"Health and beauty",Ewallet
273-16-6619,Mandalay,Normal,Male,"Home and lifestyle","Credit card"
636-48-8204,Yangon,Normal,Male,"Electronic accessories",Ewallet
549-59-1358,Yangon,Member,Male,"Sports and travel",Ewallet
227-03-5010,Yangon,Member,Female,"Home and lifestyle","Credit card"
649-29-6775,Mandalay,Normal,Male,"Fashion accessories",Cash
189-17-4241,Yangon,Normal,Female,"Fashion accessories","Credit card"
145-94-9061,Mandalay,Normal,Female,"Food and beverages",Cash
848-62-7243,Yangon,Normal,Male,"Health and beauty",Cash
871-79-8483,Mandalay,Normal,Male,"Fashion accessories","Credit card"
149-71-6266,Mandalay,Member,Male,"Sports and travel",Cash
640-49-2076,Mandalay,Normal,Male,"Sports and travel",Cash
595-11-5460,Yangon,Normal,Male,"Health and beauty","Credit card"
183-56-6882,Naypyitaw,Member,Female,"Food and beverages",Ewallet
232-16-2483,Naypyitaw,Member,Female,"Sports and travel",Ewallet
129-29-8530,Yangon,Member,Male,"Sports and travel",Ewallet
272-65-1806,Yangon,Normal,Female,"Electronic accessories",Ewallet
333-73-7901,Naypyitaw,Normal,Female,"Health and beauty",Ewallet
777-82-7220,Mandalay,Member,Male,"Home and lifestyle",Cash
280-35-5823,Mandalay,Member,Female,"Home and lifestyle",Ewallet
554-53-8700,Naypyitaw,Member,Male,"Home and lifestyle",Cash
354-25-5821,Mandalay,Member,Female,"Sports and travel",Cash
228-96-1411,Naypyitaw,Member,Female,"Food and beverages",Cash
617-15-4209,Naypyitaw,Member,Male,"Health and beauty",Cash
132-32-9879,Mandalay,Member,Female,"Electronic accessories",Cash
370-41-7321,Mandalay,Member,Male,"Health and beauty","Credit card"
727-46-3608,Mandalay,Member,Female,"Food and beverages",Ewallet
669-54-1719,Mandalay,Member,Male,"Electronic accessories","Credit card"
574-22-5561,Naypyitaw,Member,Female,"Fashion accessories",Ewallet
326-78-5178,Naypyitaw,Member,Male,"Food and beverages",Cash
162-48-8011,Yangon,Member,Female,"Food and beverages",Cash
616-24-2851,Mandalay,Member,Female,"Fashion accessories",Ewallet
778-71-5554,Naypyitaw,Member,Male,"Fashion accessories","Credit card"
242-55-6721,Mandalay,Normal,Male,"Home and lifestyle",Ewallet
399-46-5918,Naypyitaw,Normal,Female,"Electronic accessories",Cash
106-35-6779,Yangon,Member,Male,"Home and lifestyle",Cash
635-40-6220,Yangon,Normal,Male,"Health and beauty",Ewallet
817-48-8732,Yangon,Member,Female,"Home and lifestyle",Cash
120-06-4233,Naypyitaw,Normal,Male,"Electronic accessories",Cash
285-68-5083,Naypyitaw,Member,Female,"Sports and travel","Credit card"
803-83-5989,Naypyitaw,Normal,Male,"Home and lifestyle",Ewallet
347-34-2234,Mandalay,Member,Female,"Sports and travel",Ewallet
199-75-8169,Yangon,Member,Male,"Sports and travel","Credit card"
853-23-2453,Mandalay,Member,Male,"Health and beauty",Cash
877-22-3308,Yangon,Member,Male,"Health and beauty",Cash
838-78-4295,Naypyitaw,Normal,Female,"Health and beauty",Ewallet
109-28-2512,Mandalay,Member,Female,"Fashion accessories",Ewallet
232-11-3025,Yangon,Normal,Male,"Sports and travel",Cash
382-03-4532,Yangon,Member,Female,"Health and beauty",Cash
393-65-2792,Naypyitaw,Normal,Male,"Food and beverages","Credit card"
796-12-2025,Naypyitaw,Normal,Male,"Fashion accessories",Cash
510-95-6347,Mandalay,Member,Female,"Food and beverages",Ewallet
841-35-6630,Naypyitaw,Normal,Female,"Electronic accessories",Cash
287-21-9091,Yangon,Normal,Male,"Home and lifestyle",Ewallet
732-94-0499,Naypyitaw,Normal,Female,"Electronic accessories","Credit card"
263-10-3913,Naypyitaw,Member,Male,"Fashion accessories","Credit card"
381-20-0914,Yangon,Member,Female,"Fashion accessories","Credit card"
829-49-1914,Naypyitaw,Member,Female,"Food and beverages",Ewallet
756-01-7507,Naypyitaw,Normal,Female,"Health and beauty",Cash
870-72-4431,Naypyitaw,Normal,Female,"Health and beauty","Credit card"
847-38-7188,Mandalay,Normal,Female,"Food and beverages",Ewallet
480-63-2856,Naypyitaw,Normal,Male,"Food and beverages",Ewallet
787-56-0757,Naypyitaw,Member,Female,"Food and beverages","Credit card"
360-39-5055,Naypyitaw,Member,Male,"Sports and travel",Cash
730-50-9884,Naypyitaw,Normal,Female,"Sports and travel",Ewallet
362-58-8315,Naypyitaw,Normal,Male,"Fashion accessories",Cash
633-44-8566,Yangon,Member,Male,"Food and beverages","Credit card"
504-35-8843,Yangon,Normal,Male,"Sports and travel",Cash
318-68-5053,Mandalay,Normal,Female,"Health and beauty",Cash
565-80-5980,Naypyitaw,Member,Female,"Home and lifestyle",Cash
225-32-0908,Naypyitaw,Normal,Female,"Sports and travel",Ewallet
873-51-0671,Yangon,Member,Female,"Sports and travel",Ewallet
152-08-9985,Mandalay,Member,Male,"Health and beauty","Credit card"
512-91-0811,Naypyitaw,Normal,Male,"Health and beauty","Credit card"
594-34-4444,Yangon,Normal,Male,"Electronic accessories",Ewallet
766-85-7061,Mandalay,Normal,Male,"Health and beauty",Ewallet
871-39-9221,Naypyitaw,Normal,Female,"Electronic accessories",Cash
865-92-6136,Yangon,Normal,Male,"Food and beverages",Ewallet
733-01-9107,Mandalay,Normal,Male,"Home and lifestyle",Cash
163-56-7055,Naypyitaw,Member,Male,"Fashion accessories",Cash
189-98-2939,Naypyitaw,Normal,Male,"Fashion accessories",Cash
551-21-3069,Naypyitaw,Normal,Female,"Electronic accessories",Cash
212-62-1842,Yangon,Normal,Male,"Food and beverages",Cash
716-39-1409,Mandalay,Normal,Male,"Health and beauty",Cash
704-48-3927,Yangon,Member,Male,"Electronic accessories",Ewallet
628-34-3388,Naypyitaw,Normal,Male,"Fashion accessories","Credit card"
630-74-5166,Yangon,Normal,Male,"Sports and travel",Cash
588-01-7461,Naypyitaw,Normal,Female,"Food and beverages",Cash
861-77-0145,Naypyitaw,Member,Male,"Electronic accessories",Cash
479-26-8945,Mandalay,Member,Female,"Sports and travel",Ewallet
210-67-5886,Naypyitaw,Member,Female,"Health and beauty","Credit card"
227-78-1148,Mandalay,Normal,Female,"Fashion accessories",Cash
645-44-1170,Yangon,Member,Male,"Home and lifestyle",Ewallet
237-01-6122,Naypyitaw,Member,Female,"Home and lifestyle","Credit card"
225-98-1496,Naypyitaw,Normal,Female,"Fashion accessories","Credit card"
291-32-1427,Mandalay,Member,Male,"Fashion accessories",Ewallet
659-65-8956,Mandalay,Member,Male,"Fashion accessories",Ewallet
642-32-2990,Yangon,Normal,Female,"Food and beverages",Ewallet
378-24-2715,Mandalay,Normal,Male,"Home and lifestyle",Ewallet
